Custom.Data.position,Custom.Data.salary_min,Custom.Data.salary_max,Custom.Data.experience,Custom.Data.degree,Custom.Data.work_place,Custom.Data.company_name,Custom.Data.company_type,Custom.Data.company_finance,Custom.Data.company_scale,Custom.Data.bonus,Custom.Data.url
技术经理,20k,30k,经验5-10年,大专,深圳,这里信息发展有限公司,企业服务,A轮,50-150人,"员工持股计划,工作氛围好,领导nic",https://www.lagou.com/jobs/6043674.html
Python研发工程师,13k,18k,经验3-5年,本科,北京,颐邦科技,"医疗丨健康,硬件",天使轮,少于15人,年终2-6薪，五险一金，清华团队,https://www.lagou.com/jobs/6032759.html
Java开发工程师,20k,30k,经验5-10年,本科,深圳,刺猬 CIWEI,"移动互联网,消费生活",A轮,50-150人,"成长空间大,有挑战,有大牛",https://www.lagou.com/jobs/5912486.html
golang开发工程师,18k,35k,经验1-3年,本科,北京,音遇,"移动互联网,社交",B轮,150-500人,优质团队,https://www.lagou.com/jobs/6058030.html
java技术专家,30k,50k,经验5-10年,本科,杭州,喜兔,"电商,社交",不需要融资,150-500人,五险一金，零食下午茶，团建,https://www.lagou.com/jobs/6079182.html
Java开发工程师,15k,25k,经验1-3年,本科,上海,商汤科技,人工智能,C轮,2000人以上,大牛云集；扁平管理；带薪年假,https://www.lagou.com/jobs/5583233.html
Java技术经理,20k,35k,经验5-10年,本科,北京,必要商城,电商,不需要融资,150-500人,"盈利平台,电商独角兽,财务自由,千万级用户",https://www.lagou.com/jobs/5241853.html
python开发工程师,9k,15k,经验1-3年,本科,西安,绿盟科技,信息安全,上市公司,500-2000人,五险一金；弹性工作；餐补；定期体检,https://www.lagou.com/jobs/4032786.html
Java架构师,25k,35k,经验5-10年,本科,广州,欧派,"消费生活,硬件",上市公司,2000人以上,"双休,班车接送,春节15天,上市公司",https://www.lagou.com/jobs/5093001.html
资深 Node.js 研发工程师,15k,30k,经验3-5年,本科,广州,奢分期,"移动互联网,电商",A轮,50-150人,年度2次调薪、年假、股票期权、年终奖,https://www.lagou.com/jobs/3751837.html
Java开发工程师,15k,25k,经验5-10年,本科,广州,驴迹导游,"移动互联网,旅游",C轮,150-500人,"双休,准上市,领导好",https://www.lagou.com/jobs/6070752.html
java开发工程师,8k,10k,经验3-5年,本科,成都,网信天成,"移动互联网,电商",不需要融资,15-50人,"周末双休,购买社保,发展空间大,加班调休",https://www.lagou.com/jobs/5886608.html
资深运维工程师,15k,22k,经验5-10年,本科,北京,凤凰网房产,"移动互联网,文娱丨内容",不需要融资,500-2000人,优质的福利包，很棒的晋升空间～,https://www.lagou.com/jobs/5875286.html
服务端高级Java工程师,15k,30k,经验5-10年,本科,北京,必要商城,电商,不需要融资,150-500人,"技术培训,盈利平台,BAT大牛,六险一金",https://www.lagou.com/jobs/4396541.html
系统运维工程师,11k,21k,经验3-5年,本科,广州,大圣科技,汽车丨出行,不需要融资,150-500人,周末双休、发展空间大、福利好,https://www.lagou.com/jobs/5799630.html
Java开发经理,15k,20k,经验3-5年,本科,北京,人民日报媒体技术,移动互联网,未融资,50-150人,"六险一金,年终奖，绩效奖,定期体检",https://www.lagou.com/jobs/6014239.html
Java开发工程师,16k,25k,经验1-3年,本科,杭州,涂鸦智能,"移动互联网,硬件",C轮,500-2000人,"平台大,福利众多,不打卡,团队风味好",https://www.lagou.com/jobs/5213724.html
运维工程师,10k,18k,经验1-3年,本科,广州,奇异果科技,"移动互联网,游戏",不需要融资,50-150人,"五险一金,项目奖金,出国旅游，年终奖",https://www.lagou.com/jobs/5754092.html
服务端测试工程师,15k,30k,经验1-3年,本科,北京,小熊博望,"移动互联网,企业服务",不需要融资,150-500人,待遇优厚、空间大、专业团队,https://www.lagou.com/jobs/6062823.html
Java开发工程师-业务中台方向,15k,30k,经验1-3年,本科,杭州,有赞,电商,上市公司,2000人以上,发展空间 企业文化 专业团队 业务挑战,https://www.lagou.com/jobs/5642671.html
前端技术经理,15k,25k,经验3-5年,本科,杭州,百e国际,"移动互联网,电商",不需要融资,500-2000人,核心项目 晋升空间 有竞争力薪酬,https://www.lagou.com/jobs/6034846.html
资深java开发工程师,18k,30k,经验5-10年,大专,上海,萃问,"电商,其他",未融资,50-150人,人性化管理 工作氛围好,https://www.lagou.com/jobs/5746107.html
